model,selection_score,targets,macro_f1,ece,brier_score
xgboost_depth4,0.7148811207451592,1033,0.7220942351242007,0.021167682395438384,0.3301608362303591
xgboost_depth6,0.7057104503681723,1033,0.7090867089684636,0.046587769861719835,0.3369007700421316
extra_trees_deep,0.7007260150965016,1033,0.7016156157282015,0.031493569354169595,0.3635074421637
extra_trees_balanced,0.6972739113877395,1033,0.7122822997794055,0.04150809906971919,0.35863924985655365
hist_gradient_boosting,0.6891384896698837,1033,0.6994328092599437,0.1251217934312921,0.3829254485525267
random_forest_balanced,0.6826662284181353,1033,0.6906585662998385,0.042253327583320704,0.35284067934183333
logistic_regression,0.591790072636109,1033,0.6082099258983843,0.07005505989386415,0.4459067820205127
