model,selection_score,targets,macro_f1,ece,brier_score
extra_trees_deep,0.6189660562500896,1037,0.523448086560504,0.03532993525278964,0.3683308444689351
extra_trees_balanced,0.6162441329682906,1037,0.5409421038745282,0.04901122121240219,0.3812648858152496
hist_gradient_boosting,0.6140542392151978,1037,0.5261718994692811,0.12034501436441428,0.3827671087904314
random_forest_balanced,0.608673296260854,1037,0.518985846503365,0.04372602926736485,0.35809594936230693
logistic_regression,0.5091226466250074,1037,0.44695512651494246,0.15065184944613108,0.5196290914593529
