diagnostic,available,unavailable,denominator,reason
odd_even,561,469,1030,not available from source product or insufficient detected-event data
secondary,774,256,1030,not available from source product or insufficient detected-event data
morphology,773,257,1030,not available from source product or insufficient detected-event data
harmonic,760,270,1030,not available from source product or insufficient detected-event data
centroid,752,278,1030,not available from source product or insufficient detected-event data
difference_image,0,1030,1030,not available from source product or insufficient detected-event data
gaia,0,1030,1030,not available from source product or insufficient detected-event data
crowding,773,257,1030,not available from source product or insufficient detected-event data
multi_aperture,0,1030,1030,not available from source product or insufficient detected-event data
